FEATURE,TYPE,STRIKE,DIP_DIR,DIP,PLUNGE,TREND,RANK,PLOTRANK,EVENT,STRUCTYPEI,ROT_ANGLE,SYMBOL,raster_z,X,Y
"Metamorphic foliation, showing strike and dip",inclined,"315","45","85","0","0","0","0",,FOIN,"315","Metamorphic foliation, showing strike and dip; inclined","435",333562.681,6634510.394
"Metamorphic foliation, showing strike and dip",vertical,"185","275","90","0","0","0","0",,FOVE,"185","Metamorphic foliation, showing strike and dip; vertical","442",322313.592,6634163.015
"Metamorphic foliation, showing strike and dip",vertical,"135","225","90","0","0","0","0",,FOVE,"135","Metamorphic foliation, showing strike and dip; vertical","424",336306.809,6634163.903
"Metamorphic foliation, showing strike and dip",inclined,"160","250","-99","0","0","0","0",,FOIN,"160","Metamorphic foliation, showing strike and dip; inclined","419",336216.467,6633932.471
"Metamorphic foliation, showing strike and dip",vertical,"355","85","90","0","0","0","0",,FOVE,"355","Metamorphic foliation, showing strike and dip; vertical","443",317642.573,6633025.377
"Metamorphic foliation, showing strike and dip",vertical,"150","240","90","0","0","0","0",,FOVE,"150","Metamorphic foliation, showing strike and dip; vertical","413",336948.016,6632911.334
"Metamorphic foliation, showing strike and dip",inclined,"335","55","-99","0","0","0","0",,FOIN,"335","Metamorphic foliation, showing strike and dip; inclined","408",337390.685,6632279.386
"Metamorphic foliation, showing strike and dip",vertical,"100","190","90","0","0","0","0",,FOVE,"100","Metamorphic foliation, showing strike and dip; vertical","421",333532.700,6632111.353
"Metamorphic foliation, showing strike and dip",inclined,"145","235","70","0","0","0","0",,FOIN,"145","Metamorphic foliation, showing strike and dip; inclined","450",322037.642,6631899.496
"Metamorphic foliation, showing strike and dip",vertical,"325","55","90","0","0","0","0",,FOVE,"325","Metamorphic foliation, showing strike and dip; vertical","421",333485.723,6631733.389
"Metamorphic foliation, showing strike and dip",vertical,"145","235","90","0","0","0","0",,FOVE,"145","Metamorphic foliation, showing strike and dip; vertical","450",332355.765,6631576.421
"Metamorphic foliation, showing strike and dip",inclined,"200","290","85","0","0","0","0",,FOIN,"200","Metamorphic foliation, showing strike and dip; inclined","428",326883.001,6631471.431
"Metamorphic foliation, showing strike and dip",inclined,"325","55","75","0","0","0","0",,FOIN,"325","Metamorphic foliation, showing strike and dip; inclined","437",332651.964,6631522.417
"Metamorphic foliation, showing strike and dip",vertical,"155","245","90","0","0","0","0",,FOVE,"155","Metamorphic foliation, showing strike and dip; vertical","414",338127.915,6631550.946
"Metamorphic foliation, showing strike and dip",vertical,"275","5","90","0","0","0","0",,FOVE,"275","Metamorphic foliation, showing strike and dip; vertical","430",326155.372,6631230.344
"Metamorphic foliation, showing strike and dip",vertical,"325","55","90","0","0","0","0",,FOVE,"325","Metamorphic foliation, showing strike and dip; vertical","448",328217.529,6631250.938
"Metamorphic foliation, showing strike and dip",vertical,"160","250","90","0","0","0","0",,FOVE,"160","Metamorphic foliation, showing strike and dip; vertical","415",336054.676,6631345.359
"Metamorphic foliation, showing strike and dip",inclined,"150","240","60","0","0","0","0",,FOIN,"150","Metamorphic foliation, showing strike and dip; inclined","459",321875.439,6631063.828
"Metamorphic foliation, showing strike and dip",inclined,"180","270","60","0","0","0","0",,FOIN,"180","Metamorphic foliation, showing strike and dip; inclined","435",322697.087,6631018.924
"Metamorphic foliation, showing strike and dip",vertical,"325","55","90","0","0","0","0",,FOVE,"325","Metamorphic foliation, showing strike and dip; vertical","426",325066.976,6630955.902
"Metamorphic foliation, showing strike and dip",vertical,"325","55","90","0","0","0","0",,FOVE,"325","Metamorphic foliation, showing strike and dip; vertical","436",323453.958,6630899.944
"Metamorphic foliation, showing strike and dip",vertical,"150","240","90","0","0","0","0",,FOVE,"150","Metamorphic foliation, showing strike and dip; vertical","417",338162.189,6631120.509
"Metamorphic foliation, showing strike and dip",vertical,"335","65","90","0","0","0","0",,FOVE,"335","Metamorphic foliation, showing strike and dip; vertical","423",326329.467,6630748.444
"Metamorphic foliation, showing strike and dip",inclined,"150","240","80","0","0","0","0",,FOIN,"150","Metamorphic foliation, showing strike and dip; inclined","437",321872.642,6630609.317
"Metamorphic foliation, showing strike and dip",vertical,"155","245","90","0","0","0","0",,FOVE,"155","Metamorphic foliation, showing strike and dip; vertical","401",338583.285,6630500.871
"Metamorphic foliation, showing strike and dip",inclined,"180","270","75","0","0","0","0",,FOIN,"180","Metamorphic foliation, showing strike and dip; inclined","431",322331.886,6630224.981
"Metamorphic foliation, showing strike and dip",vertical,"170","260","90","0","0","0","0",,FOVE,"170","Metamorphic foliation, showing strike and dip; vertical","449",331291.627,6630296.003
"Metamorphic foliation, showing strike and dip",vertical,"135","225","90","0","0","0","0",,FOVE,"135","Metamorphic foliation, showing strike and dip; vertical","448",332362.766,6630078.518
"Metamorphic foliation, showing strike and dip",inclined,"315","45","70","0","0","0","0",,FOIN,"315","Metamorphic foliation, showing strike and dip; inclined","443",332258.511,6629901.397
