field_1,X,Y,Z,fault_name
"1330",332554.906937370251399,6652497.749944926239550,402.955840000000023,Boorara Fault
"1331",332786.433237085526343,6651635.469826740212739,409.016200000000026,Boorara Fault
"1332",332665.677917565626558,6652090.829553333111107,405.115599999999972,Boorara Fault
"1333",332889.313061793625820,6651198.027664937078953,414.849670000000003,Boorara Fault
"1334",333003.603068423224613,6650712.069726006127894,413.117709999999988,Boorara Fault
"1335",333121.433248766581528,6650121.948920260183513,418.899350000000027,Boorara Fault
"1336",333230.132016843301244,6649396.444238125346601,424.080989999999986,Boorara Fault
"1337",333084.648562943562865,6650367.466530695557594,416.949430000000007,Boorara Fault
"1338",333168.910667112562805,6649805.063182591460645,420.118260000000021,Boorara Fault
"1339",333283.300906396703795,6649041.571050531230867,426.074650000000020,Boorara Fault
"1340",333375.615470743039623,6648425.421945556066930,433.046839999999975,Boorara Fault
"1341",333446.724800452939235,6647890.411599149927497,437.814450000000022,Boorara Fault
"1342",333517.834130162897054,6647355.401252744719386,441.252589999999998,Boorara Fault
"1343",333585.198568885505665,6647059.830632057972252,441.836360000000013,Boorara Fault
"1344",333656.860664093983360,6646745.403460063971579,443.904449999999997,Boorara Fault
"1345",333795.887198025127873,6646135.405667383223772,445.983670000000018,Boorara Fault
"1346",333889.054504868458025,6645562.776122188195586,442.874329999999986,Boorara Fault
"1347",333982.221811711788177,6644990.146576993167400,439.076419999999985,Boorara Fault
"1348",334127.501217256241944,6644097.223053410649300,436.033290000000022,Boorara Fault
"1349",334240.811494872905314,6643170.663077115081251,434.964200000000005,Boorara Fault
"1350",334323.104348906606901,6642402.774383032694459,435.092620000000011,Boorara Fault
"1351",334385.249837923445739,6641822.884197371080518,434.954589999999996,Boorara Fault
"1352",334560.489544432959519,6640808.628456477075815,429.878199999999993,Boorara Fault
"1353",334735.729250967269763,6639794.372715589590371,428.766200000000026,Boorara Fault
"1354",335027.241250862251036,6638696.971699262037873,430.965329999999994,Boorara Fault
"1355",335207.467912076856010,6638065.208466738462448,432.185330000000022,Boorara Fault
"1356",335366.034320386708714,6637557.445227963849902,432.774110000000007,Boorara Fault
"1357",335607.656723287887871,6636783.719095450825989,440.069489999999973,Boorara Fault
"1358",335888.985769529594108,6635882.843877408653498,432.120060000000024,Boorara Fault
"1359",336074.983398536278401,6635364.618237468414009,432.916600000000017,Boorara Fault
"1360",336406.047746160824317,6634514.150255419313908,427.151889999999980,Boorara Fault
"1361",336983.629898936022073,6633574.392937087453902,424.723599999999976,Boorara Fault
"1362",337398.529371737735346,6632950.012260718271136,417.991489999999999,Boorara Fault
"1363",337813.428844539506827,6632325.631584350019693,416.075559999999996,Boorara Fault
"1364",338184.424441187409684,6631714.263753892853856,418.802889999999991,Boorara Fault
"1365",338555.420037835312542,6631102.895923435688019,403.101560000000006,Boorara Fault
"1366",338797.212018908932805,6630549.143436644226313,402.839139999999986,Boorara Fault
"1367",339150.314477096137125,6629688.128037291578948,396.156979999999976,Boorara Fault
"1368",339354.356598819722421,6629124.887467022985220,390.742549999999994,Boorara Fault
