X,Y,Z,fault_name
317388.3971092674,6500473.934419896,391.0687,Ida Fault
319232.7349403499,6496604.586860729,397.92471,Ida Fault
315544.0592781841,6504343.2819790635,432.98016,Ida Fault
313112.0592781807,6509692.368269168,445.82553,Ida Fault
310680.0592781811,6515041.454559273,467.96359,Ida Fault
326846.92,6620664.73,-27829.86,Ida Fault
328157.8,6620693.26,-28274.49,Ida Fault
332962.46,6621100.44,-30448.47,Ida Fault
335948.39,6621753.56,-31999.47,Ida Fault
339303.55,6622112.97,-33648.69,Ida Fault
340029.81,6622127.06,-33943.38,Ida Fault
342326.06,6622206.25,-35393.58,Ida Fault
345616.08,6623043.55,-36820.5,Ida Fault
319326.26,6620398.19,-24906.78,Ida Fault
321535.17,6620471.13,-25622.52,Ida Fault
324117.01,6620558.95,-26726.13,Ida Fault
326777.15,6620662.45,-27743.52,Ida Fault
281483.89,6616682.35,-7362.75,Ida Fault
282797.3,6616695.87,-8567.22,Ida Fault
276622.69,6616596.83,448.38,Ida Fault
277369.04,6616615.74,-1882.17,Ida Fault
278641.91,6616644.29,-3701.67,Ida Fault
280042.57,6616666.58,-5720.46,Ida Fault
281371.47,6616681.19,-7248.6,Ida Fault
282858.61,6616696.51,-8652.39,Ida Fault
285475.56,6616718.71,-10868.82,Ida Fault
287733.33,6616744.57,-12190.83,Ida Fault
289737.22,6616775.36,-12916.59,Ida Fault
289748.07,6616775.52,-12842.25,Ida Fault
291560.73,6616797.09,-13677.96,Ida Fault
295846.22,6617268.71,-15281.91,Ida Fault
297313.13,6617462.79,-16030.92,Ida Fault
309857.79,6619393.63,-20912.79,Ida Fault
311593.02,6619800.06,-21657.57,Ida Fault
313801.46,6620221.91,-22601.55,Ida Fault
317410.48,6620333.58,-24005.31,Ida Fault
319425.77,6620401.57,-24921.72,Ida Fault
297312.82,6617462.75,-16040.25,Ida Fault
301557.94,6618031.0,-17839.53,Ida Fault
305466.79,6618520.31,-19435.5,Ida Fault
309806.83,6619381.7,-21012.81,Ida Fault
330176.79,6584151.97,374.6,Kunanalling Fault
331166.29,6584848.09,-571.35,Kunanalling Fault
332854.22,6586037.61,-2474.21,Kunanalling Fault
334133.2,6586939.15,-4045.93,Kunanalling Fault
335345.42,6587794.69,-5151.36,Kunanalling Fault
336409.27,6588543.55,-6255.58,Kunanalling Fault
