,X,Y,Z,fault_name
174,289090.72594485,6544172.121225939,438.27951,Ida Fault
175,289197.3926115182,6543041.454559271,438.0614,Ida Fault
176,290178.7259448511,6540950.787892604,448.87134,Ida Fault
177,292173.39261151885,6538902.787892606,432.44638,Ida Fault
178,289378.7259448528,6542028.12122594,460.2088,Ida Fault
179,291176.0592781848,6539926.787892604,432.2066,Ida Fault
180,292914.72594484955,6537782.787892606,442.53659,Ida Fault
181,293656.0592781855,6536662.787892604,452.23718,Ida Fault
182,295245.39261151804,6535329.454559272,482.16293,Ida Fault
183,296920.059278184,6534028.121225936,500.21671,Ida Fault
184,298417.8349391882,6532244.466149077,490.69617,Ida Fault
185,300619.2667616431,6530015.834604513,466.00635,Ida Fault
186,302967.3553627038,6527791.530317394,476.914,Ida Fault
187,305389.3926115169,6525004.121225942,487.90637,Ida Fault
188,307524.4646435904,6521909.513469858,478.263,Ida Fault
189,308866.72594484943,6518988.121225942,467.72379,Ida Fault
190,309771.438000771,6517019.042045401,481.9212,Ida Fault
191,311715.3661659366,6512764.338654943,485.7691,Ida Fault
192,314473.15183221217,6506698.699880874,434.4704,Ida Fault
193,317388.3971092674,6500473.934419896,391.0687,Ida Fault
194,319232.7349403499,6496604.586860729,397.92471,Ida Fault
195,315544.0592781841,6504343.281979064,432.98016,Ida Fault
196,313112.0592781807,6509692.368269168,445.82553,Ida Fault
197,310680.0592781811,6515041.454559273,467.96359,Ida Fault
198,272064.5338715127,6653021.24624673,481.10181,Kunanalling Fault
199,272513.4324375122,6651713.3676834665,478.13168,Kunanalling Fault
200,273857.1520749794,6648166.324635882,464.19418,Kunanalling Fault
201,274232.8503323896,6649049.316208731,459.75336,Kunanalling Fault
202,274724.3932345526,6648125.819437181,464.21564,Kunanalling Fault
203,275124.5643381743,6647541.801686169,472.04544,Kunanalling Fault
204,275742.36869332404,6646834.291765578,480.82626,Kunanalling Fault
205,275816.43126998225,6647012.294004322,479.08853,Kunanalling Fault
206,276226.00326913863,6646546.705932632,483.89951,Kunanalling Fault
207,277247.44243630953,6645385.339523856,474.23001,Kunanalling Fault
208,277839.1503716565,6644628.357706395,472.8797,Kunanalling Fault
209,278880.46733231854,6643002.838866263,465.03156,Kunanalling Fault
210,279536.6911178261,6642071.839207816,451.17032,Kunanalling Fault
211,280177.9865008866,6640998.343706318,450.80759,Kunanalling Fault
212,281014.8251518473,6639795.852746358,443.24548,Kunanalling Fault
213,281515.51296643465,6639070.871246421,438.84833,Kunanalling Fault
214,284200.0683275522,6636096.824623439,434.81555,Kunanalling Fault
215,284680.4762494983,6635675.835709689,430.83929,Kunanalling Fault
216,285663.62609287,6635036.31560823,425.89566,Kunanalling Fault
217,286562.4368804379,6634567.28917675,428.08502,Kunanalling Fault
218,287053.3048314181,6634391.780662159,428.10138,Kunanalling Fault
219,287450.94489059155,6634463.28032631,424.88794,Kunanalling Fault
220,287641.48288861173,6634417.280015287,428.00552,Kunanalling Fault
221,287952.03347218665,6634213.287450424,425.73105,Kunanalling Fault
222,289498.8012316959,6632892.77444773,421.91907,Kunanalling Fault
223,289865.700492566,6632554.776022129,422.58362,Kunanalling Fault
224,291280.2810626317,6630867.762195857,407.92865,Kunanalling Fault
225,291703.3969017245,6630434.756514754,408.92346,Kunanalling Fault
226,292468.90570943104,6629774.765109005,405.89227,Kunanalling Fault
227,292907.93911085185,6629325.765074805,407.99063,Kunanalling Fault
228,293132.4320868036,6628954.751501782,411.09781,Kunanalling Fault
229,293197.8341926866,6628452.252547014,411.29102,Kunanalling Fault
230,293873.0032741027,6627302.249169572,413.8956,Kunanalling Fault
231,294625.82983412547,6626181.748928968,416.09409,Kunanalling Fault
232,295665.63136906084,6624825.248837456,424.85062,Kunanalling Fault
233,296304.7878154849,6624100.247879404,427.07571,Kunanalling Fault
234,296505.9364757986,6623896.849504495,431.1424,Kunanalling Fault
235,297246.75394926406,6623147.746478051,434.06274,Kunanalling Fault
236,298091.3209565316,6622425.250781152,436.11111,Kunanalling Fault
237,300237.0029557345,6620503.106101608,451.91898,Kunanalling Fault
238,300687.1971431604,6619756.442571244,458.02936,Kunanalling Fault
239,301236.2144448993,6618746.250736044,460.02182,Kunanalling Fault
240,301433.86067352537,6618241.1548184445,468.26953,Kunanalling Fault
241,302092.6814356122,6617714.098208775,461.31061,Kunanalling Fault
242,303761.69403289875,6616725.867065645,453.75656,Kunanalling Fault
243,304969.5320967245,6615737.635922515,422.99908,Kunanalling Fault
244,306561.0456125893,6613382.603895258,469.10605,Kunanalling Fault
245,307530.3674323636,6611732.13701294,467.91629,Kunanalling Fault
246,309233.23008872377,6609662.503938287,456.00931,Kunanalling Fault
247,310968.6276356253,6607856.445868522,434.28839,Kunanalling Fault
248,311674.6713566307,6607094.765668363,417.55298,Kunanalling Fault
249,312577.079478547,6605621.040867763,421.0,Kunanalling Fault
250,313675.5198148289,6604404.259003466,402.96109,Kunanalling Fault
251,314448.8082494675,6603807.254646443,405.0,Kunanalling Fault
252,314958.5979686788,6603477.767174862,400.0,Kunanalling Fault
253,315564.9910409312,6602934.778683802,406.0,Kunanalling Fault
254,315564.9910000623,6602934.778808506,406.0,Kunanalling Fault
255,316307.99664632394,6602131.288449597,397.0,Kunanalling Fault
256,316707.85147441895,6601642.291371662,391.55624,Kunanalling Fault
257,317028.5185033608,6601136.793989239,389.0,Kunanalling Fault
258,318228.5706912658,6599606.305955474,376.68497,Kunanalling Fault
259,319100.7817443151,6598685.810303867,366.85956,Kunanalling Fault
